Phase,Algorithm,Embedding,Accuracy,Precision,Recall,F1-Score,MCC,G-Mean,Class_A_Acc,Class_AU_Acc,Class_F_Acc,Class_FT_Acc,Class_LF_Acc,Class_LL_Acc,Class_M_Acc,Class_O_Acc,Class_P_Acc,Class_PE_Acc,Class_R_Acc,Class_SC_Acc,Class_SE_Acc,Class_US_Acc
Phase 4-2C (Simple Hybrid),XGBoost,BERT,0.873229461756374,0.4912912641689102,0.2883113778608024,0.3338162779363713,0.4362090106094537,0.11146640608687272,0.043478260869565216,0.38461538461538464,0.9693200663349917,0.0,0.0,0.1,0.14285714285714285,0.08333333333333333,0.4166666666666667,0.19047619047619047,0.3,0.5,0.5306122448979592,0.375
Phase 4-2C (Simple Hybrid),KNN,TF-IDF,0.8682719546742209,0.3909269437340223,0.34215907707983156,0.3595221624765923,0.47971475353592236,0.15339915633873513,0.34782608695652173,0.3076923076923077,0.9494195688225538,0.0,0.25,0.4,0.14285714285714285,0.25,0.5,0.23809523809523808,0.5,0.0,0.5918367346938775,0.3125
Phase 4-2C (Simple Hybrid),RF,SBERT,0.8675637393767706,0.5028270567486254,0.16489258234522045,0.20723036867764708,0.2984274250691915,0.025361850489688236,0.043478260869565216,0.07692307692307693,0.9966832504145937,0.0,0.0,0.0,0.0,0.0,0.25,0.09523809523809523,0.1,0.5,0.1836734693877551,0.0625
Phase 4-2C (Simple Hybrid),RF,MPNet,0.8668555240793201,0.4389447554541894,0.16128504828063822,0.2024129016600849,0.29120330403082945,0.0197951065543994,0.08695652173913043,0.07692307692307693,0.9975124378109452,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.0,0.1,0.5,0.16326530612244897,0.125
Phase 4-2C (Simple Hybrid),KNN,BERT,0.8746458923512748,0.3724430011872409,0.2679177083152934,0.30233253527021725,0.4443374895603782,0.08094783683106725,0.08695652173913043,0.2692307692307692,0.972636815920398,0.0,0.0,0.1,0.14285714285714285,0.5,0.5,0.23809523809523808,0.2,0.0,0.42857142857142855,0.3125
Phase 4-2C (Simple Hybrid),RF,BERT,0.873229461756374,0.4460273723732816,0.19889656445307097,0.24421422791793587,0.36991251814059606,0.030241498368489304,0.043478260869565216,0.19230769230769232,0.9917081260364843,0.0,0.0,0.0,0.0,0.0,0.25,0.047619047619047616,0.1,0.5,0.3469387755102041,0.3125
Phase 4-A-NEW (Catch-Bin Classical),LinearSVC,TF-IDF,0.896600566572238,0.635233109963936,0.474876136509518,0.522363829487946,0.5935938172085907,0.3040077902988388,0.5652173913043478,0.8076923076923077,0.9593698175787728,0.0,0.5,0.4,0.2857142857142857,0.3333333333333333,0.4583333333333333,0.38095238095238093,0.2,0.5,0.6326530612244898,0.625
Phase 4-A-NEW (Catch-Bin Classical),XGBoost,TF-IDF,0.8888101983002833,0.4705930048787192,0.2597482588900003,0.3169582925692885,0.48399343015688606,0.04307734435918474,0.34782608695652173,0.6923076923076923,0.9867330016583747,0.0,0.0,0.2,0.0,0.0,0.2916666666666667,0.23809523809523808,0.2,0.0,0.3673469387755102,0.3125
Phase 4-A-NEW (Catch-Bin Classical),LR,TF-IDF,0.8739376770538244,0.5420352020271977,0.519732777510079,0.5107941099298082,0.5722916259749159,0.33948515837655396,0.5217391304347826,0.8461538461538461,0.9220563847429519,0.0,0.5,0.4,0.2857142857142857,0.3333333333333333,0.5416666666666666,0.5238095238095238,0.5,0.5,0.7142857142857143,0.6875
Phase 4-A-NEW (Catch-Bin Classical),KNN,TF-IDF,0.8753541076487252,0.5469157692104418,0.2519387986741216,0.3233480460444675,0.40765607564566053,0.11255845646217326,0.2608695652173913,0.2692307692307692,0.9825870646766169,0.0,0.25,0.3,0.14285714285714285,0.08333333333333333,0.2916666666666667,0.19047619047619047,0.2,0.0,0.30612244897959184,0.25
Phase 4-A-NEW (Catch-Bin Classical),XGBoost,GloVe,0.8888101983002833,0.4705930048787192,0.2597482588900003,0.3169582925692885,0.48399343015688606,0.04307734435918474,0.34782608695652173,0.6923076923076923,0.9867330016583747,0.0,0.0,0.2,0.0,0.0,0.2916666666666667,0.23809523809523808,0.2,0.0,0.3673469387755102,0.3125
Phase 4-A-NEW (Catch-Bin Classical),RF,TF-IDF,0.8647308781869688,0.5263593136241471,0.16318640468526577,0.20796098166409704,0.26824219877838745,0.02442999739968877,0.043478260869565216,0.3076923076923077,0.9958540630182421,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.047619047619047616,0.1,0.5,0.08163265306122448,0.125
Phase 4-A-NEW (Catch-Bin Classical),KNN,GloVe,0.8753541076487252,0.5469157692104418,0.2519387986741216,0.3233480460444675,0.40765607564566053,0.11255845646217326,0.2608695652173913,0.2692307692307692,0.9825870646766169,0.0,0.25,0.3,0.14285714285714285,0.08333333333333333,0.2916666666666667,0.19047619047619047,0.2,0.0,0.30612244897959184,0.25
Phase 4-A-NEW (Catch-Bin Classical),RF,GloVe,0.8647308781869688,0.5263593136241471,0.16318640468526577,0.20796098166409704,0.26824219877838745,0.02442999739968877,0.043478260869565216,0.3076923076923077,0.9958540630182421,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.047619047619047616,0.1,0.5,0.08163265306122448,0.125
Phase 4-A-NEW (Catch-Bin Classical),RF,Word2Vec,0.8647308781869688,0.5263593136241471,0.16318640468526577,0.20796098166409704,0.26824219877838745,0.02442999739968877,0.043478260869565216,0.3076923076923077,0.9958540630182421,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.047619047619047616,0.1,0.5,0.08163265306122448,0.125
Phase 4-A-NEW (Catch-Bin Classical),KNN,Word2Vec,0.8753541076487252,0.5469157692104418,0.2519387986741216,0.3233480460444675,0.40765607564566053,0.11255845646217326,0.2608695652173913,0.2692307692307692,0.9825870646766169,0.0,0.25,0.3,0.14285714285714285,0.08333333333333333,0.2916666666666667,0.19047619047619047,0.2,0.0,0.30612244897959184,0.25
Phase 4-B-NEW (Catch-Bin Deep),XGBoost,MPNet,0.8803116147308782,0.5095935047858126,0.21698603473284309,0.2783953365779742,0.4134792627783941,0.04716132571715893,0.08695652173913043,0.15384615384615385,0.9941956882255389,0.0,0.0,0.0,0.0,0.08333333333333333,0.3333333333333333,0.19047619047619047,0.1,0.5,0.40816326530612246,0.1875
Phase 4-B-NEW (Catch-Bin Deep),XGBoost,SBERT,0.8746458923512748,0.5481169457044472,0.1981111777811509,0.2562006341883122,0.3664592198231814,0.0433414080362588,0.08695652173913043,0.11538461538461539,0.9950248756218906,0.0,0.0,0.0,0.0,0.08333333333333333,0.2916666666666667,0.19047619047619047,0.1,0.5,0.2857142857142857,0.125
Phase 4-B-NEW (Catch-Bin Deep),KNN,MPNet,0.8824362606232294,0.38999507353018253,0.27886359510371217,0.31557208700142503,0.4712988600672303,0.044038062005542236,0.21739130434782608,0.07692307692307693,0.9767827529021559,0.0,0.0,0.0,0.0,0.4166666666666667,0.5,0.2857142857142857,0.4,0.0,0.5306122448979592,0.5
Phase 4-B-NEW (Catch-Bin Deep),KNN,SBERT,0.8845609065155807,0.500658293761742,0.267490023769656,0.31846312577725416,0.4752722168095106,0.05759528371845004,0.13043478260869565,0.11538461538461539,0.9809286898839138,0.0,0.0,0.1,0.0,0.5,0.5416666666666666,0.3333333333333333,0.2,0.0,0.5306122448979592,0.3125
